id,year,region,wine,beer,vodka,champagne,brandy,total_consumption
1046,2010,"Tyumen Oblast",7.70,87.40,12.80,2.00,1.30,111.20
1047,2010,"Udmurt Republic",10.90,80.40,12.10,0.90,0.50,104.80
1048,2010,"Ulyanovsk Oblast",7.00,40.00,8.80,1.60,0.50,57.90
1049,2010,"Khabarovsk Krai",6.50,101.40,16.50,3.10,1.10,128.60
1050,2010,"Republic of Khakassia",7.40,57.70,11.50,1.20,0.60,78.40
1051,2010,"Khantyâ€“Mansi Autonomous Okrug â€“ Yugra",7.70,87.40,12.80,2.00,1.30,111.20
1052,2010,"Chelyabinsk Oblast",9.80,108.90,11.90,1.70,0.60,132.90
1053,2010,"Chuvash Republic",5.70,39.00,14.80,1.20,0.50,61.20
1054,2010,"Chukotka Autonomous Okrug",5.50,17.70,15.90,2.80,1.40,43.30
1055,2010,"Sakha (Yakutia) Republic",5.20,50.10,12.80,2.00,0.70,70.80
1056,2010,"Yamalo-Nenets Autonomous Okrug",7.70,87.40,12.80,2.00,1.30,111.20
1057,2010,"Yaroslavl Oblast",11.30,76.30,12.20,2.10,0.80,102.70
1058,2011,"Republic of Adygea",3.29,35.82,6.90,1.24,0.75,48.00
1059,2011,"Altai Krai",4.51,63.39,10.75,1.54,0.40,80.59
1060,2011,"Amur Oblast",7.21,83.27,12.02,1.90,0.64,105.04
1061,2011,"Arkhangelsk Oblast",12.23,41.60,16.64,2.59,1.24,74.30
1062,2011,"Astrakhan Oblast",4.92,77.01,8.74,0.97,0.56,92.20
1063,2011,"Republic of Bashkortostan",3.04,63.87,10.97,0.85,0.28,79.01
1064,2011,"Belgorod Oblast",3.60,35.87,7.25,1.18,0.56,48.46
1065,2011,"Bryansk Oblast",9.96,49.13,10.56,1.69,0.43,71.77
1066,2011,"Republic of Buryatia",7.31,39.05,13.58,0.77,0.24,60.95
1067,2011,"Vladimir Oblast",8.43,46.74,12.26,1.48,0.64,69.55
1068,2011,"Volgograd Oblast",4.82,67.13,6.59,1.66,0.60,80.80
1069,2011,"Vologda Oblast",10.34,88.83,15.44,1.29,0.64,116.54
1070,2011,"Voronezh Oblast",6.02,81.01,8.41,1.90,0.44,97.78
1071,2011,"Republic of Dagestan",3.27,2.74,7.88,0.38,0.37,14.64
1072,2011,"Jewish Autonomous Oblast",5.06,59.83,12.17,1.31,0.50,78.87
1073,2011,"Zabaykalsky Krai",6.52,66.83,13.81,1.07,0.45,88.68
1074,2011,"Ivanovo Oblast",9.71,88.42,11.14,1.57,0.57,111.41
1075,2011,"Irkutsk Oblast",6.10,77.29,10.98,1.40,0.51,96.28
1076,2011,"Kabardino-Balkar Republic",2.66,23.28,3.08,0.55,0.39,29.96
1077,2011,"Kaliningrad Oblast",7.98,56.95,14.65,2.03,2.13,83.74
1078,2011,"Republic of Kalmykia",2.47,17.90,4.87,0.33,0.42,25.99
1079,2011,"Kaluga Oblast",9.26,57.93,11.62,1.78,0.86,81.45
1080,2011,"Kamchatka Krai",7.59,77.77,16.83,4.20,1.76,108.15
1081,2011,"Karachay-Cherkess Republic",1.36,29.53,2.17,0.47,0.46,33.99
1082,2011,"Republic of Karelia",11.98,56.94,19.33,1.87,1.60,91.72
1083,2011,"Kemerovo Oblast",7.48,71.37,13.70,1.48,0.61,94.64
1084,2011,"Kirov Oblast",9.23,82.05,15.09,1.82,0.55,108.74
1085,2011,"Kostroma Oblast",8.11,59.69,11.87,1.28,0.51,81.46
1086,2011,"Krasnodar Krai",6.47,59.93,6.47,1.79,0.92,75.58
1087,2011,"Krasnoyarsk Krai",6.22,79.04,10.98,1.73,0.75,98.72
1088,2011,"Kurgan Oblast",6.98,85.81,7.72,1.01,0.42,101.94
1089,2011,"Kursk Oblast",6.33,71.19,7.73,1.43,0.49,87.17
1090,2011,"Leningrad Oblast",8.54,86.70,15.38,2.52,1.62,114.76
1091,2011,"Lipetsk Oblast",6.48,77.72,8.85,1.32,0.45,94.82
1092,2011,"Magadan Oblast",8.17,55.40,17.53,4.06,1.60,86.76
1093,2011,"Mari El Republic",8.57,32.79,12.48,1.05,0.42,55.31
1094,2011,"Republic of Mordovia",6.15,56.93,10.79,1.01,0.35,75.23
1095,2011,Moscow,9.85,91.28,16.92,5.14,1.80,124.99
1096,2011,"Moscow Oblast",7.60,108.64,12.96,2.77,1.31,133.28
1097,2011,"Murmansk Oblast",10.72,51.86,12.60,3.32,1.52,80.02
1098,2011,"Nenets Autonomous Okrug",10.53,33.24,21.69,5.56,1.75,72.77
1099,2011,"Nizhny Novgorod Oblast",7.66,51.77,10.98,1.68,0.65,72.74
1100,2011,"Novgorod Oblast",13.71,49.97,14.89,2.51,1.06,82.14
1101,2011,"Novosibirsk Oblast",4.90,84.83,10.37,1.76,0.69,102.55
1102,2011,"Omsk Oblast",5.02,126.93,6.78,1.28,0.44,140.45
1103,2011,"Orenburg Oblast",4.50,66.58,6.38,1.10,0.30,78.86
1104,2011,"Oryol Oblast",6.80,62.18,8.11,1.66,0.47,79.22
1105,2011,"Penza Oblast",7.37,87.37,7.89,1.22,0.39,104.24
1106,2011,"Perm Krai",6.07,79.01,10.10,1.24,0.64,97.06
1107,2011,"Primorsky Krai",6.03,72.22,10.91,2.72,0.82,92.70
1108,2011,"Pskov Oblast",12.75,48.17,13.50,2.29,0.88,77.59
1109,2011,"Altai Republic",5.71,61.96,10.19,1.16,0.52,79.54
1110,2011,"Komi Republic",10.75,94.74,17.83,2.25,1.09,126.66
1111,2011,"Tuva Republic",4.26,81.21,15.33,0.77,0.37,101.94
1112,2011,"Rostov Oblast",4.61,48.69,5.27,1.60,0.60,60.77
1113,2011,"Ryazan Oblast",7.96,65.73,8.32,1.41,0.50,83.92
1114,2011,"Samara Oblast",5.97,61.93,9.50,2.38,0.70,80.48
1115,2011,"Saint Petersburg",6.90,82.93,9.01,2.71,1.13,102.68
1116,2011,"Saratov Oblast",5.46,50.30,8.75,1.69,0.58,66.78
1117,2011,"Sakhalin Oblast",8.50,67.32,18.51,3.89,1.52,99.74
1118,2011,"Sverdlovsk Oblast",8.67,92.02,12.81,1.85,0.90,116.25
1119,2011,"Republic of North Ossetia-Alania",1.72,17.65,3.35,0.58,0.26,23.56
1120,2011,"Smolensk Oblast",9.27,57.03,12.46,2.39,0.73,81.88
1121,2011,"Stavropol Krai",5.97,65.12,5.14,2.01,0.94,79.18
1122,2011,"Tambov Oblast",5.77,69.91,8.18,1.31,0.45,85.62
1123,2011,"Republic of Tatarstan",3.71,83.81,13.19,1.36,0.49,102.56
1124,2011,"Tver Oblast",8.69,66.51,13.86,1.85,0.81,91.72
1125,2011,"Tomsk Oblast",7.41,46.40,12.54,1.63,0.75,68.73
1126,2011,"Tula Oblast",6.34,51.53,9.55,2.46,0.50,70.38
1127,2011,"Tyumen Oblast",7.30,86.65,12.09,2.10,1.29,109.43
1128,2011,"Udmurt Republic",7.95,87.28,13.38,0.99,0.72,110.32
1129,2011,"Ulyanovsk Oblast",7.41,54.90,8.49,1.54,0.53,72.87
1130,2011,"Khabarovsk Krai",5.79,104.94,16.87,3.08,1.09,131.77
1131,2011,"Republic of Khakassia",6.11,68.00,12.16,1.17,0.76,88.20
1132,2011,"Khantyâ€“Mansi Autonomous Okrug â€“ Yugra",6.69,73.66,12.43,2.29,1.66,96.73
1133,2011,"Chelyabinsk Oblast",8.34,85.80,11.53,1.54,0.55,107.76
1134,2011,"Chuvash Republic",5.24,39.06,14.03,1.29,0.62,60.24
1135,2011,"Chukotka Autonomous Okrug",5.23,16.91,14.74,2.90,1.58,41.36
1136,2011,"Sakha (Yakutia) Republic",5.87,55.04,11.97,2.07,0.65,75.60
1137,2011,"Yamalo-Nenets Autonomous Okrug",6.33,100.92,14.07,2.53,1.78,125.63
1138,2011,"Yaroslavl Oblast",10.27,77.30,11.84,1.68,0.85,101.94
1139,2012,"Republic of Adygea",3.10,34.50,5.60,1.30,0.70,45.20
1140,2012,"Altai Krai",4.80,70.40,11.00,1.50,0.40,88.10
1141,2012,"Amur Oblast",5.80,75.80,13.30,1.90,0.60,97.40
1142,2012,"Arkhangelsk Oblast",9.20,49.20,14.40,2.30,1.10,76.20
1143,2012,"Astrakhan Oblast",4.70,79.70,9.50,1.10,0.70,95.70
1144,2012,"Republic of Bashkortostan",4.00,78.30,11.70,0.80,0.40,95.20
1145,2012,"Belgorod Oblast",3.30,39.50,7.00,1.30,0.70,51.80
1146,2012,"Bryansk Oblast",8.40,50.90,10.00,1.60,0.50,71.40
1147,2012,"Republic of Buryatia",7.60,38.50,13.10,0.60,0.30,60.10
1148,2012,"Vladimir Oblast",8.00,46.60,11.90,1.50,0.70,68.70
1149,2012,"Volgograd Oblast",4.50,71.60,5.90,1.70,0.50,84.20
1150,2012,"Vologda Oblast",9.80,108.60,14.90,1.30,0.80,135.40
1151,2012,"Voronezh Oblast",7.50,83.30,8.50,2.00,0.60,101.90
1152,2012,"Republic of Dagestan",1.60,2.50,8.00,0.40,0.40,12.90
1153,2012,"Jewish Autonomous Oblast",4.70,61.70,12.70,1.50,0.50,81.10
1154,2012,"Zabaykalsky Krai",6.60,68.00,13.60,1.10,0.40,89.70
1155,2012,"Ivanovo Oblast",9.20,92.80,11.90,1.70,0.60,116.20
1156,2012,"Irkutsk Oblast",6.30,71.70,10.80,1.50,0.60,90.90
1157,2012,"Kabardino-Balkar Republic",1.70,20.40,2.30,0.50,0.30,25.20
1158,2012,"Kaliningrad Oblast",8.60,61.00,14.80,1.70,2.30,88.40
1159,2012,"Republic of Kalmykia",2.70,15.90,4.90,0.40,0.50,24.40
1160,2012,"Kaluga Oblast",9.30,64.00,11.90,2.00,0.90,88.10
1161,2012,"Kamchatka Krai",7.50,76.00,15.40,4.30,1.80,105.00
1162,2012,"Karachay-Cherkess Republic",1.30,28.70,1.80,0.50,0.40,32.70
1163,2012,"Republic of Karelia",10.60,58.20,18.00,1.70,1.40,89.90
1164,2012,"Kemerovo Oblast",5.90,75.30,14.20,1.60,0.70,97.70
1165,2012,"Kirov Oblast",8.10,81.40,15.10,1.70,0.60,106.90
1166,2012,"Kostroma Oblast",7.70,79.60,12.30,1.30,0.50,101.40
